Accession number,Source,Tissue,Development stage,Country
SRX3753416,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753414,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753413,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753412,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3803150,RNA-Seq,,,USA
SRX3803147,RNA-Seq,,,USA
SRX3803148,RNA-Seq,,,USA
SRX3753411,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753409,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753410,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753407,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753408,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753406,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753405,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753404,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753402,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3753403,RNA-Seq,3rd and 4th terminal leaf,,USA:Michigan
SRX3653315,RNA-Seq,Leaf,,
SRX3599560,RNA-Seq,systemic tubers,,Colombia
SRX3599559,RNA-Seq,systemic tubers,,Colombia
SRX3599558,RNA-Seq,systemic tubers,,Colombia
SRX3599557,RNA-Seq,systemic tubers,,Colombia
SRX3599556,RNA-Seq,systemic tubers,,Colombia
SRX3599555,RNA-Seq,systemic tubers,,Colombia
SRX3599554,RNA-Seq,systemic tubers,,Colombia
SRX3599552,RNA-Seq,systemic tubers,,Colombia
SRX3599551,RNA-Seq,systemic tubers,,Colombia
SRX3599553,RNA-Seq,systemic tubers,,Colombia
SRX3599550,RNA-Seq,systemic tubers,,Colombia
SRX3599549,RNA-Seq,systemic tubers,,Colombia
SRX2935088,RNA-Seq,,,Netherlands
SRX2935089,RNA-Seq,,,Netherlands
SRX3437738,RNA-Seq,tuber,TUBER EXPANSION PERIOD,China:Jinan
SRX3437741,RNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX3437740,RNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX3437742,RNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX3437739,RNA-Seq,TUBER,TUBER EXPANSION PERIOD,China: Jinan
SRX3437743,RNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX2935086,RNA-Seq,,,Netherlands
SRX3240360,RNA-Seq,roots,vegetative growth,Russia: Leningrad obl.
SRX3240361,RNA-Seq,roots,vegetative growth,Russia: Leningrad obl.
SRX3217664,RNA-Seq,Tuber,Tuberization,USA
SRX3228147,miRNA-Seq,tubers,not applicable,Bulgaria: Varna
SRX3216033,RNA-Seq,roots,vegetative growth,Russia: Leningrad obl.
SRX3217665,RNA-Seq,Tuber,Tuberization,USA
SRX3216032,RNA-Seq,roots,vegetative growth,Russia: Leningrad obl.
SRX3216031,RNA-Seq,roots,vegetative growth,Russia: Leningrad obl.
SRX3216034,RNA-Seq,roots,vegetative growth,Russia: Leningrad obl.
SRX3205232,RNA-Seq,,,USA:California
SRX3205234,RNA-Seq,,,USA:California
SRX3205233,RNA-Seq,,,USA:California
SRX3205230,RNA-Seq,,,USA:California
SRX3205228,RNA-Seq,,,USA:California
SRX3205229,RNA-Seq,,,USA:California
SRX3205227,RNA-Seq,,,USA:California
SRX3205226,RNA-Seq,,,USA:California
SRX3205225,RNA-Seq,,,USA:California
SRX3205223,RNA-Seq,,,USA:California
SRX3205224,RNA-Seq,,,USA:California
SRX3205222,RNA-Seq,,,USA:California
SRX3205209,RNA-Seq,,,USA:California
SRX3205215,RNA-Seq,,,USA:California
SRX3205210,RNA-Seq,,,USA:California
SRX3205214,RNA-Seq,,,USA:California
SRX3205199,RNA-Seq,,,USA:California
SRX3205211,RNA-Seq,,,USA:California
SRX3205208,RNA-Seq,,,USA:California
SRX3205197,RNA-Seq,,,USA:California
SRX3205198,RNA-Seq,,,USA:California
SRX3202749,RNA-Seq,Tuber,Sprouting tuber,China: Qingdao
SRX3202598,RNA-Seq,Tuber,Dormancy tuber,China: Qingdao
SRX3202600,RNA-Seq,Tuber,Sprouting tuber,China: Qingdao
SRX3202597,RNA-Seq,Tuber,Dormancy tuber,China: Qingdao
SRX3202596,RNA-Seq,Tuber,Dormancy tuber,China: Qingdao
SRX3202599,RNA-Seq,Tuber,Sprouting tuber,China: Qingdao
SRX3198909,RNA-Seq,Tuber,Dormancy tuber,China: Qingdao
SRX3127476,RNA-Seq,leaf,,USA
SRX3127477,RNA-Seq,leaf,,USA
SRX3127472,RNA-Seq,leaf,,USA
SRX3127478,RNA-Seq,leaf,,USA
SRX3127471,RNA-Seq,leaf,,USA
SRX3127473,RNA-Seq,leaf,,USA
SRX3127475,RNA-Seq,leaf,,USA
SRX3127470,RNA-Seq,leaf,,USA
SRX3127474,RNA-Seq,leaf,,USA
SRX3127468,RNA-Seq,tuber,,USA
SRX3127469,RNA-Seq,leaf,,USA
SRX3127466,RNA-Seq,tuber,,USA
SRX3127465,RNA-Seq,tuber,,USA
SRX3127464,RNA-Seq,tuber,,USA
SRX3127467,RNA-Seq,tuber,,USA
SRX3127462,RNA-Seq,leaf,,USA
SRX3127463,RNA-Seq,tuber,,USA
SRX3127460,RNA-Seq,tuber,,USA
SRX3127461,RNA-Seq,leaf,,USA
SRX3127459,RNA-Seq,tuber,,USA
SRX3127458,RNA-Seq,tuber,,USA
SRX3127457,RNA-Seq,tuber,,USA
SRX3127455,RNA-Seq,tuber,,USA
SRX3101064,OTHER,whole tissue,,
SRX3127456,RNA-Seq,tuber,,USA
SRX3101063,OTHER,whole tissue,,
SRX3092912,RNA-Seq,seed tubers,,
SRX3092911,RNA-Seq,seed tubers,,
SRX2987321,RNA-Seq,mature leaf,9 week old,"USA: Purdue University, IN"
SRX2737165,RNA-Seq,leaf,,
SRX2987323,RNA-Seq,mature leaf,9 week old,"USA: Purdue University, IN"
SRX2737167,RNA-Seq,leaf,,
SRX2987322,RNA-Seq,mature leaf,9 week old,"USA: Purdue University, IN"
SRX2737164,RNA-Seq,leaf,,
SRX3092913,RNA-Seq,seed tubers,,
SRX2737163,RNA-Seq,leaf,,
SRX2737166,RNA-Seq,leaf,,
SRX2737161,RNA-Seq,leaf,,
SRX2737159,RNA-Seq,leaf,,
SRX2737157,RNA-Seq,leaf,,
SRX2737156,RNA-Seq,leaf,,
SRX2737153,RNA-Seq,leaf,,
SRX2737162,RNA-Seq,leaf,,
SRX2737154,RNA-Seq,leaf,,
SRX2737152,RNA-Seq,leaf,,
SRX2737155,RNA-Seq,leaf,,
SRX2737158,RNA-Seq,leaf,,
SRX2737160,RNA-Seq,leaf,,
SRX2737151,RNA-Seq,leaf,,
SRX2737150,RNA-Seq,leaf,,
SRX2737149,RNA-Seq,leaf,,
SRX2737145,RNA-Seq,leaf,,
SRX2737146,RNA-Seq,leaf,,
SRX2737148,RNA-Seq,leaf,,
SRX2737143,RNA-Seq,leaf,,
SRX2737142,RNA-Seq,leaf,,
SRX2737144,RNA-Seq,leaf,,
SRX2737147,RNA-Seq,leaf,,
SRX2737140,RNA-Seq,leaf,,
SRX2737141,RNA-Seq,leaf,,
SRX2737139,RNA-Seq,leaf,,
SRX2737137,RNA-Seq,leaf,,
SRX2737138,RNA-Seq,leaf,,
SRX2737135,RNA-Seq,leaf,,
SRX2737136,RNA-Seq,leaf,,
SRX2737134,RNA-Seq,leaf,,
SRX2672444,RNA-Seq,,,United Kingdom
SRX2737133,RNA-Seq,leaf,,
SRX2737132,RNA-Seq,leaf,,
SRX2672452,miRNA-Seq,,,United Kingdom
SRX2542126,RNA-Seq,leaves,young leaf development,China: Changsha
SRX2542124,RNA-Seq,leaves,young leaf development,China: Changsha
SRX2542127,RNA-Seq,leaves,young leaf development,China: Changsha
SRX2542125,RNA-Seq,leaves,young leaf development,China: Changsha
SRX2542123,RNA-Seq,leaves,young leaf development,China: Changsha
SRX2535932,miRNA-Seq,leaves,young leaf development,China: Changsha
SRX2535933,miRNA-Seq,leaves,young leaf development,China: Changsha
SRX2535934,miRNA-Seq,leaves,young leaf development,China: Changsha
SRX2535712,miRNA-Seq,leaves,young leaf development,China: Changsha
SRX2535713,miRNA-Seq,leaves,young leaf development,China: Changsha
SRX2463191,RNA-Seq,,,Spain:Barcelona
SRX2463194,RNA-Seq,,,Spain:Barcelona
SRX2463013,RNA-Seq,,,Spain:Barcelona
SRX2463211,RNA-Seq,,,Spain:Barcelona
SRX2463210,RNA-Seq,,,Spain:Barcelona
SRX2463231,RNA-Seq,,,Spain:Barcelona
SRX2463192,RNA-Seq,,,Spain:Barcelona
SRX2462734,RNA-Seq,,,Spain:Barcelona
SRX2462751,RNA-Seq,,,Spain:Barcelona
SRX2447320,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447310,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447309,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447316,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447313,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447307,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447305,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447303,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447298,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447299,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447296,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447294,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447289,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447288,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447284,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447286,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447287,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447283,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447282,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447293,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447281,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447280,RNA-Seq,Plantlet without root,,China:Changsha
SRX2447279,RNA-Seq,Plantlet without root,,China:Changsha
SRX2417178,RNA-Seq,Leaf,,
SRX2447278,RNA-Seq,Plantlet without root,,China:Changsha
SRX2417172,RNA-Seq,Leaf,,
SRX2417174,RNA-Seq,Leaf,,
SRX2417170,RNA-Seq,Leaf,,
SRX2417171,RNA-Seq,Leaf,,
SRX2417176,RNA-Seq,Leaf,,
SRX2417173,RNA-Seq,Leaf,,
SRX2417175,RNA-Seq,Leaf,,
SRX2417177,RNA-Seq,Leaf,,
SRX2417169,RNA-Seq,Leaf,,
SRX2417168,RNA-Seq,Leaf,,
SRX2410090,RNA-Seq,,,
SRX2410088,RNA-Seq,,,
SRX2410085,RNA-Seq,,,
SRX2410087,RNA-Seq,,,
SRX2410086,RNA-Seq,,,
SRX2410089,RNA-Seq,,,
SRX2372479,RNA-Seq,Leaves,Budding,China: Kunming
SRX2372478,RNA-Seq,Leaves,Budding,China: Kunming
SRX2372477,RNA-Seq,Leaves,Budding,China: Kunming
SRX2372476,RNA-Seq,Leaves,Budding,China: Kunming
SRX2355392,RNA-Seq,Leaves,Budding,China: Kunming
SRX2239234,RNA-Seq,Leaf,,
SRX2239236,RNA-Seq,Leaf,,
SRX2239235,RNA-Seq,Leaf,,
SRX2239238,RNA-Seq,Root,,
SRX2239240,RNA-Seq,Root,,
SRX2239237,RNA-Seq,Root,,
SRX2239239,RNA-Seq,Root,,
SRX2109198,RNA-Seq,root,,USA
SRX2109196,RNA-Seq,root,,USA
SRX2109197,RNA-Seq,root,,USA
SRX2109194,RNA-Seq,root,,USA
SRX2109191,RNA-Seq,seedlings,,USA
SRX2109188,RNA-Seq,seedlings,,USA
SRX2109195,RNA-Seq,root,,USA
SRX2109189,RNA-Seq,seedlings,,USA
SRX2109193,RNA-Seq,root,,USA
SRX2109187,RNA-Seq,seedlings,,USA
SRX2109192,RNA-Seq,seedlings,,USA
SRX2109190,RNA-Seq,seedlings,,USA
SRX2109184,RNA-Seq,seedlings,,USA
SRX2109186,RNA-Seq,seedlings,,USA
SRX2109185,RNA-Seq,seedlings,,USA
SRX2080342,miRNA-Seq,,,Slovenia
SRX2080340,miRNA-Seq,,,Slovenia
SRX2080339,miRNA-Seq,,,Slovenia
SRX2080335,miRNA-Seq,,,Slovenia
SRX2080336,miRNA-Seq,,,Slovenia
SRX2080337,miRNA-Seq,,,Slovenia
SRX2080334,miRNA-Seq,,,Slovenia
SRX2080333,miRNA-Seq,,,Slovenia
SRX2080332,miRNA-Seq,,,Slovenia
SRX2080341,miRNA-Seq,,,Slovenia
SRX2080331,miRNA-Seq,,,Slovenia
SRX2080338,miRNA-Seq,,,Slovenia
SRX2080330,miRNA-Seq,,,Slovenia
SRX2080328,miRNA-Seq,,,Slovenia
SRX2080327,miRNA-Seq,,,Slovenia
SRX2080326,miRNA-Seq,,,Slovenia
SRX2080329,miRNA-Seq,,,Slovenia
SRX2080325,miRNA-Seq,,,Slovenia
SRX2080323,miRNA-Seq,,,Slovenia
SRX2080321,miRNA-Seq,,,Slovenia
SRX2080322,miRNA-Seq,,,Slovenia
SRX2080320,miRNA-Seq,,,Slovenia
SRX2080324,miRNA-Seq,,,Slovenia
SRX2080319,miRNA-Seq,,,Slovenia
SRX2080317,miRNA-Seq,,,Slovenia
SRX2080318,miRNA-Seq,,,Slovenia
SRX2080316,miRNA-Seq,,,Slovenia
SRX2080313,miRNA-Seq,,,Slovenia
SRX2080314,miRNA-Seq,,,Slovenia
SRX2080315,miRNA-Seq,,,Slovenia
SRX2080311,miRNA-Seq,,,Slovenia
SRX2080312,miRNA-Seq,,,Slovenia
SRX2080309,miRNA-Seq,,,Slovenia
SRX2080308,miRNA-Seq,,,Slovenia
SRX2080310,miRNA-Seq,,,Slovenia
SRX2080307,miRNA-Seq,,,Slovenia
SRX2080306,miRNA-Seq,,,Slovenia
SRX2080304,miRNA-Seq,,,Slovenia
SRX2080303,miRNA-Seq,,,Slovenia
SRX2080305,miRNA-Seq,,,Slovenia
SRX2080300,miRNA-Seq,,,Slovenia
SRX2061480,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2080301,miRNA-Seq,,,Slovenia
SRX2080302,miRNA-Seq,,,Slovenia
SRX2061474,miRNA-Seq,leaves,in-vitro plant,Peru: Lima
SRX2061479,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061471,miRNA-Seq,leaves,in-vitro plant,Peru: Lima
SRX2061472,miRNA-Seq,leaves,in-vitro plant,Peru: Lima
SRX2061477,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061469,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061478,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061473,miRNA-Seq,leaves,in-vitro plant,Peru: Lima
SRX2061476,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061470,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061475,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061468,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061467,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061466,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061465,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061464,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061463,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061461,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061462,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061459,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061460,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061457,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061456,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061455,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061458,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061453,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061451,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061452,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061454,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061448,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061447,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061446,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061450,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2061445,miRNA-Seq,leaves,"vegative, greenhouse",Peru: Lima
SRX2023788,RNA-Seq,Tuber,unknown,USA
SRX2023789,RNA-Seq,Tuber,unknown,USA
SRX2023798,RNA-Seq,Tuber,unknown,USA
SRX2023787,RNA-Seq,Tuber,unknown,USA
SRX2023785,RNA-Seq,Leaf,unknown,USA
SRX2061449,miRNA-Seq,leaves,in-vitro plant,Peru: Lima
SRX2023786,RNA-Seq,Leaf,unknown,USA
SRX2023735,RNA-Seq,Leaf,unknown,USA
SRX2011975,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011971,RNA-Seq,Leaf,unknown,USA
SRX2011973,RNA-Seq,Tuber,unknown,USA
SRX2011974,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011970,RNA-Seq,Leaf,unknown,USA
SRX2023784,RNA-Seq,Leaf,unknown,USA
SRX2011964,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011972,RNA-Seq,Tuber,unknown,USA
SRX2011953,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011947,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011945,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011946,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011943,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011942,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011941,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011939,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011938,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011944,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011937,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011940,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011936,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011935,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011934,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011933,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011932,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011929,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011930,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011931,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011927,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011926,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011925,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011928,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011924,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011922,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011923,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011919,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011921,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011920,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011918,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011917,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011916,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011915,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011914,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011913,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011911,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011912,RNA-Seq,Tuber,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011909,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011910,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011906,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011908,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011904,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011903,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011907,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011905,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011899,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011900,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011901,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011902,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011898,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
SRX2011897,RNA-Seq,Leaf,Plants were transplanted from test tube to greenhouse and grown to bulking stage (about 68 days after transplanting) under condition of 72F 12 hours daylight,USA
ERX010646,WGS,tuber cortex,,
ERX010640,WGS,tuber pith,,
ERX010637,WGS,tuber,mature,
SRX1836785,RNA-Seq,leaf,4-weeks,Peru
SRX1836789,RNA-Seq,leaf,4-weeks,Peru
SRX1836780,RNA-Seq,leaf,4-weeks,Peru
SRX1842128,RNA-Seq,leaf,4-weeks,China
SRX1834920,RNA-Seq,leaf,4-weeks,China
SRX1834916,RNA-Seq,leaf,4-weeks,China
ERX836095,RNA-Seq,,,
ERX836094,RNA-Seq,,,
ERX836093,RNA-Seq,,,
ERX836092,RNA-Seq,,,
ERX836087,RNA-Seq,,,
ERX836089,RNA-Seq,,,
ERX836090,RNA-Seq,,,
ERX836091,RNA-Seq,,,
ERX836086,RNA-Seq,,,
ERX836088,RNA-Seq,,,
ERX836085,RNA-Seq,,,
ERX836083,RNA-Seq,,,
ERX836084,RNA-Seq,,,
ERX836079,RNA-Seq,,,
ERX836078,RNA-Seq,,,
ERX836081,RNA-Seq,,,
ERX836077,RNA-Seq,,,
ERX836080,RNA-Seq,,,
ERX836082,RNA-Seq,,,
ERX836076,RNA-Seq,,,
ERX836075,RNA-Seq,,,
ERX836073,RNA-Seq,,,
ERX836074,RNA-Seq,,,
ERX836071,RNA-Seq,,,
ERX836072,RNA-Seq,,,
ERX836070,RNA-Seq,,,
ERX836069,RNA-Seq,,,
ERX836066,RNA-Seq,,,
ERX836067,RNA-Seq,,,
ERX836065,RNA-Seq,,,
ERX836068,RNA-Seq,,,
